Serial,City,School Name
515,mumbai,"JBCN International School, Parel"
516,mumbai,J.d. Bharda High School
517,mumbai,JD Bharda High School
518,mumbai,JES English School
519,mumbai,JOHN XXIII SCHOOL
520,mumbai,Joymax English High School
521,mumbai,VIJAY NAGAR HIGH SCHOOL
522,mumbai,K J Khilnani High School
523,mumbai,K M S ENGLISH MEDIUM SCHOOL
524,mumbai,Kaivalya Vidya Niketan
525,mumbai,Kalpavruksha - A Steiner Inspired School
526,mumbai,Kalyanji K Rajpopat School
527,mumbai,Kamladevi Jain High School
528,mumbai,"Kanakia International School, Bhayandar  CBSE"
529,mumbai,Kanakia International School CBSE Chembur
530,mumbai,"Kanakia International School, (IGCSE), Bhayandar - Mira Bhayandar"
531,mumbai,Kanakia International School[IB] Chembur
532,mumbai,Kangaroo
533,mumbai,Kangaroo kids
534,mumbai,Kangaroo kids
535,mumbai,Kangaroo kids
536,mumbai,Kangaroo kids
537,mumbai,Kangaroo kids
538,mumbai,Kangaroo Kids
539,mumbai,Kangaroo kids
540,mumbai,Kangaroo kids
541,mumbai,Kangaroo kids
542,mumbai,Kangaroo kids
543,mumbai,Kangaroo kids
544,mumbai,Kangaroo kids
545,mumbai,Kangaroo kids
546,mumbai,Kangaroo kids - Parel
547,mumbai,Kangaroo kids
548,mumbai,Kangaroo kids
549,mumbai,Kangaroo kids
550,mumbai,Kangaroo kids - Wadala
551,mumbai,Kapol Vidyanidhi School
552,mumbai,KB Patil International School
553,mumbai,Kendriya Vidyalaya Ambernath
554,mumbai,Kendriya Vidyalaya IIT Powai
555,mumbai,Kendriya Vidyalaya Koliwada
556,mumbai,Kendriya Vidyalaya
557,mumbai,KES Bhagawati Vidyalaya
558,mumbai,K.E.S. English Medium High School
559,mumbai,KES International School
560,mumbai,K.G.T.I. International School
561,mumbai,Kiddies Nook
562,mumbai,Kids Castle
563,mumbai,Kids Concept
564,mumbai,Kids Land School
565,mumbai,Kids University
566,mumbai,Kidzee
567,mumbai,Kidzee
568,mumbai,Kidzee
569,mumbai,Kidzee
570,mumbai,Kidzee
571,mumbai,Kidzee - Bolinj
572,mumbai,Kidzee
573,mumbai,Kidzee
574,mumbai,Kidzee
575,mumbai,Kidzee
576,mumbai,Kidzee - Dombivli
577,mumbai,Kidzee - Ghansoli
578,mumbai,Kidzee
579,mumbai,Kidzee
580,mumbai,Kidzee
581,mumbai,Kidzee
582,mumbai,Kidzee - Kamothe
583,mumbai,Kidzee
584,mumbai,Kidzee
585,mumbai,Kidzee
586,mumbai,Kidzee
587,mumbai,Kidzee
588,mumbai,Kidzee
589,mumbai,Kidzee
590,mumbai,Kidzee
591,mumbai,Kidzee
592,mumbai,Kidzee
593,mumbai,Kidzee
594,mumbai,Kidzee
595,mumbai,Kidzee
596,mumbai,Kidzee
597,mumbai,Kidzee
598,mumbai,Kidzee
599,mumbai,Kidzee
600,mumbai,Kidzee
601,mumbai,Kidzee
602,mumbai,Kidzee
603,mumbai,Kidzee
604,mumbai,Kidzee
